SRR1523230,SRR1523243,sample1
SRR1523231,SRR1523244,sample2
SRR1523232,SRR1523245,sample8
SRR1523233,SRR1523246,sample10
SRR1523234,SRR1523247,sample7
SRR1523235,SRR1523248,sample12
SRR1523237,SRR1523249,sample13
SRR1523236,SRR1523250,sample11
SRR1523240,SRR1523251,sample3
SRR1523238,SRR1523252,sample5
SRR1523239,SRR1523253,sample4
SRR1523242,SRR1523254,sample6
SRR1523241,SRR1523255,sample9
SRR1523242,SRR1523256,sample6_2
SRR1523230,SRR1523257,sample1_2
SRR1523236,SRR1523258,sample11_2
SRR1523235,SRR1523259,sample12_2
SRR1523233,SRR1523260,sample10_2
SRR1523238,SRR1523261,sample5_2
SRR1523232,SRR1523262,sample8_2
SRR1523230,SRR1523263,sample1_3
SRR1523231,SRR1523264,sample2_2
SRR1523233,SRR1523265,sample10_3
SRR1523234,SRR1523266,sample7_2
SRR1523237,SRR1523267,sample13_2
SRR1523239,SRR1523268,sample4_2
SRR1523240,SRR1523269,sample3_2
